Date,EFA,GLD,IWM,QQQ,SPY,TLT
2019-01-02,47.469451904296875,121.33000183105469,122.97785186767578,148.04080200195312,224.3824920654297,99.44599914550781
2019-01-03,47.040557861328125,122.43000030517578,120.77691650390625,143.2042999267578,219.0281219482422,100.57760620117188
2019-01-04,48.480987548828125,121.44000244140625,125.28829956054688,149.3311767578125,226.36465454101562,99.41343688964844
2019-01-07,48.66710662841797,121.86000061035156,127.48011016845703,151.10910034179688,228.14947509765625,99.12035369873047
2019-01-08,48.98270797729492,121.52999877929688,129.43447875976562,152.47598266601562,230.29302978515625,98.85983276367188
2019-01-09,49.532989501953125,122.30999755859375,130.50294494628906,153.71856689453125,231.3692169189453,98.70512390136719
2019-01-10,49.72720718383789,121.58999633789062,131.17877197265625,154.15821838378906,232.18544006347656,98.07013702392578
2019-01-11,49.38733673095703,121.80000305175781,131.21530151367188,153.59423828125,232.27511596679688,98.45276641845703
2019-01-14,49.16074752807617,122.08999633789062,129.9093780517578,152.2370147705078,230.8580780029297,98.0864028930664
2019-01-15,49.41969680786133,121.87999725341797,131.0052490234375,155.2096710205078,233.5038299560547,97.7281723022461
2019-01-16,49.55726623535156,122.2699966430664,131.98248291015625,155.1809539794922,234.06887817382812,97.82585906982422
2019-01-17,49.73530197143555,122.11000061035156,133.1788330078125,156.40443420410156,235.84471130371094,97.85032653808594
2019-01-18,50.23701477050781,121.0199966430664,134.5486602783203,157.95286560058594,238.9838409423828,97.33739471435547
2019-01-22,49.46015167236328,121.44999694824219,132.42079162597656,154.7891387939453,235.7550048828125,97.9968490600586
2019-01-23,49.68674850463867,121.27999877929688,132.05551147460938,154.98983764648438,236.24832153320312,97.95614624023438
2019-01-24,49.7433967590332,121.08999633789062,132.8500213623047,155.9934539794922,236.3739013671875,98.59931182861328
2019-01-25,50.30984878540039,122.86000061035156,134.55775451660156,157.85728454589844,238.37393188476562,98.1270980834961
2019-01-28,50.03471374511719,123.29000091552734,133.83633422851562,155.90737915039062,236.56222534179688,98.02940368652344
2019-01-29,50.14800262451172,123.9800033569336,133.51670837402344,154.4354248046875,236.24832153320312,98.52605438232422
2019-01-30,50.69828796386719,124.69000244140625,134.97787475585938,158.36398315429688,239.9883270263672,98.45276641845703
2019-01-31,50.72256088256836,124.75,136.12855529785156,160.7344207763672,242.09600830078125,99.2994384765625
2019-02-01,50.70637893676758,124.5,136.2382049560547,160.0557861328125,242.212646484375,98.69972229003906
2019-02-04,50.89249801635742,123.95999908447266,137.86375427246094,162.04397583007812,243.91664123535156,98.2591323852539
2019-02-05,51.289024353027344,124.27999877929688,138.0098419189453,163.4777069091797,244.93910217285156,98.70790100097656
2019-02-06,51.03007125854492,123.44000244140625,137.83631896972656,162.990234375,244.6162872314453,98.75682830810547
2019-02-07,50.350311279296875,123.73999786376953,136.70391845703125,160.80133056640625,242.28436279296875,99.40960693359375
2019-02-08,50.18846130371094,124.20999908447266,136.8500518798828,161.11676025390625,242.58029174804688,99.83393096923828
2019-02-11,50.13991165161133,123.5999984741211,137.99159240722656,160.96385192871094,242.7148895263672,99.4422607421875
2019-02-12,50.72256088256836,123.86000061035156,139.7176971435547,163.3439178466797,245.8360137939453,99.18932342529297
2019-02-13,50.73065185546875,123.37000274658203,140.11032104492188,163.4585723876953,246.6342315673828,98.81391143798828
2019-02-14,50.74683380126953,124.05999755859375,140.4299774169922,163.65931701660156,246.08712768554688,99.37696075439453
2019-02-15,51.483238220214844,124.80000305175781,142.6674346923828,164.34754943847656,248.76881408691406,99.53202819824219
2019-02-19,51.67745590209961,126.69999694824219,143.0601043701172,164.67254638671875,249.1993408203125,99.78495788574219
