,Cumulative Return,CAGR,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Daily Hit Rate,Period (Years)
No Rebalancing,133.86%,15.25%,17.05%,0.68,0.83,-27.02%,0.56,54.97%,6.0
Quarterly,127.91%,14.76%,16.32%,0.68,0.83,-26.24%,0.56,54.84%,6.0
Monthly,125.82%,14.58%,16.43%,0.67,0.80,-26.18%,0.56,54.71%,6.0
